Geo ID,INTPTLAT,INTPTLON,ZIPCODE
484530329001,30.3514926,-97.8197064,78730
484530343001,30.4334918,-97.8096371,78750
484530023233,30.2296869,-97.7527029,78704
484530014013,30.2518448,-97.7453374,78767
484530304002,30.2086419,-97.8007751,78745
484530357003,30.460862,-97.8495384,78713
484530303002,30.2205495,-97.8007793,78745
484530023243,30.2355622,-97.7175168,78741
484530431002,30.3526208,-97.6935937,78753
484530358001,30.4350894,-97.8519371,
484530019221,30.2406956,-97.7937192,78704
484530351001,30.34298,-97.9166983,78732
484530304003,30.2146481,-97.8058099,78745
484530020043,30.2351783,-97.7903521,78745
484530011032,30.2646001,-97.7396453,78701
484530349003,30.3680274,-97.9045987,78732
484530019222,30.250589,-97.7900043,78704
484530310001,30.2054581,-97.824768,78745
484530310002,30.2069478,-97.8333743,78745
484530320001,30.2254932,-97.836736,78749
484530317002,30.1857705,-97.8344716,78748
484530409001,30.3695822,-97.6977911,78758
484530348001,30.2051118,-97.8668929,78749
484530446001,30.4251934,-97.6389603,78691
484530006052,30.2893042,-97.7496601,78705
484530006051,30.2968138,-97.748605,78705
484530335001,30.2063888,-97.8474343,78749
484530370001,30.3256499,-97.9849893,78738
484530369002,30.3444135,-97.9919691,78738
484530006062,30.2919097,-97.7427939,78705
484530006061,30.2943811,-97.74318,78705
484530019145,30.2446451,-97.8190526,78745
484530334001,30.2125986,-97.8384241,78749
484530406003,30.3615461,-97.7013235,78758
484530409004,30.369921,-97.7015678,78758
484530401003,30.3596238,-97.7099045,78758
484530407001,30.3654608,-97.7096301,78758
484530406001,30.3661798,-97.7011105,78758
484530006071,30.2858433,-97.7510816,78705
484530320006,30.2317993,-97.842002,78749
484530336002,30.350073,-97.970482,78738
484530320005,30.2295292,-97.8470042,78749
484530024441,30.2106314,-97.7759052,78745
484530417002,30.389777,-97.6955838,78758
484530336001,30.3779276,-97.9674046,78734
484530013103,30.253134,-97.7633395,78704
484530312001,30.2253995,-97.8617896,78749
484530009023,30.2568324,-97.7178294,78702
484530372002,30.1576563,-97.8393753,78748
484530444003,30.433296,-97.6277408,78691
484530019202,30.2462086,-97.871677,78735
484530408002,30.3784877,-97.7024942,78758
484530347003,30.2144209,-97.8881991,78749
484530024431,30.203142,-97.7694308,78745
484530320004,30.2303375,-97.8542541,78749
484530023151,30.2345938,-97.7330258,78741
484530417001,30.3876304,-97.7031289,78758
484530453002,30.3974697,-97.7129951,78758
484530419001,30.3957942,-97.6903757,78758
484530418003,30.3938058,-97.6995756,78758
484530401001,30.3559507,-97.7126267,78758
484530405002,30.3554686,-97.7182668,78757
484530357002,30.4647918,-97.842094,78713
484530311002,30.226494,-97.9019313,78736
484530356001,30.4323731,-97.9057812,78641
484530408001,30.373863,-97.7077147,78758
484530314001,30.4234245,-97.9415425,78734
484530459002,30.3574773,-97.5254796,78653
484530019144,30.2622302,-97.8440825,78735
484530348003,30.208338,-97.8815864,78749
484530416002,30.3696159,-97.6737757,78753
484530330002,30.2405798,-97.8993997,78736
484530019201,30.2494198,-97.8896082,78735
484530011011,30.2696516,-97.7375527,78701
484530405001,30.3664207,-97.7234381,78757
484530404001,30.3677025,-97.7294557,78757
484530335002,30.1987068,-97.8438377,78749
484530019203,30.2654477,-97.8977772,78735
484530404003,30.3709797,-97.7346218,78757
484530453001,30.4050765,-97.7069675,78758
484530309002,30.1898798,-97.819908,78745
484530454001,30.4085967,-97.7242507,78759
484530002032,30.3166404,-97.7355011,78756
484530312004,30.2156693,-97.8672937,78749
484530022131,30.2919891,-97.6465946,78724
484530454003,30.3859032,-97.7260439,78758
484530349002,30.385266,-97.902387,78732
484530021091,30.2827105,-97.6997804,78721
484530331001,30.3799224,-97.9764523,78734
484530022133,30.2890279,-97.6351288,78724
484530438001,30.3835303,-97.6554838,78753
484530315003,30.3844383,-97.9306774,78734
484530006053,30.2918779,-97.7485471,78705
484530022182,30.3176285,-97.5278648,78653
484530415001,30.3765768,-97.6682203,78753
484530360002,30.5463922,-97.8940714,78641
484530013092,30.2590909,-97.7673313,78704
484530001014,30.3119231,-97.7536549,78731
484530024532,30.17158,-97.6156723,78617
484530376003,30.4306046,-97.95975,78645
484530373001,30.4654687,-97.9901454,78645
484530348002,30.2014715,-97.8760185,78749
484530020072,30.2350554,-97.7825504,78704
484530367003,30.1924564,-97.9016538,78739
484530020061,30.2305719,-97.7797172,78704
484530020062,30.2350232,-97.7761059,78704
484530013121,30.2460782,-97.7620349,78704
484530022181,30.3338759,-97.5319829,78653
484530466001,30.488945,-97.5637877,78660
484530019232,30.2522502,-97.7806429,78704
484530466002,30.4908724,-97.5777846,78660
484530022211,30.3203582,-97.6171415,78724
484530022192,30.3104028,-97.5907723,78724
484530424003,30.3820463,-97.5502382,78653
484530424004,30.3566395,-97.5689832,78653
484530013102,30.2546801,-97.7649644,78704
484530366003,30.2600512,-98.0247152,78620
484530369001,30.3397003,-97.985351,78738
484530410004,30.367527,-97.6891374,78753
484530330003,30.2479675,-97.9109273,78736
484530012005,30.270168,-97.7598134,78703
484530019231,30.2600636,-97.7778863,78704
484530019113,30.2658389,-97.7751242,78703
484530352001,30.4047583,-98.0450453,78669
484910212033,30.5792669,-97.4139504,76574
484530024193,30.1863227,-97.7560125,78744
484530416003,30.3619813,-97.678455,78753
484530410002,30.3644157,-97.6894706,78753
484530022132,30.2859358,-97.6420721,78724
484530410001,30.3755002,-97.6839264,78753
484530410003,30.3703661,-97.6876942,78753
484530024472,30.2065646,-97.7271093,78744
484530024223,30.1802703,-97.7895912,78715
484530415002,30.3832595,-97.6693418,78753
484530437001,30.392312,-97.6673246,78753
484530411001,30.3812655,-97.6802163,78753
484530367001,30.1884811,-97.8958799,78739
484530368002,30.1851207,-97.8767444,78739
484530411002,30.3875316,-97.6785511,78753
484530444004,30.439274,-97.6403719,78691
484530450001,30.3712916,-97.6410467,78754
484530309004,30.1994998,-97.81149,78715
484530011012,30.2723402,-97.7466337,78701
484530333004,30.1587099,-97.8785256,78739
484530364001,30.4902724,-97.9575857,78645
484530012001,30.2745143,-97.7577556,78701
484530006064,30.2891904,-97.7429845,78705
484530006081,30.2864722,-97.7432417,78705
484530024131,30.1972215,-97.7422286,78744
484530370002,30.3164043,-97.9624568,78738
484530319002,30.165058,-97.8255046,78748
484530006073,30.2842227,-97.746558,78705
484530306003,30.3466117,-97.7525795,78731
482090103072,29.891262,-97.916191,78666
484530331003,30.3694795,-97.9929437,78734
484530354001,30.3410846,-98.0088849,78738
484530323001,30.3564049,-97.749892,78731
484530024412,30.1839084,-97.7613455,78744
484530375001,30.4976157,-97.9023185,78641
484530366001,30.25118,-97.9522952,
484530011023,30.2649737,-97.7483854,78701
484530013101,30.2588747,-97.7609476,78704
484530024133,30.1900923,-97.7430498,78744
484530306004,30.3447796,-97.7589532,78731
484530306002,30.3544513,-97.762789,78731
484530321002,30.2247727,-97.8151063,78715
484530024383,30.1685821,-97.8137161,78748
484530464002,30.4735171,-97.6597701,78682
484530373002,30.444791,-97.9896934,78645
